순위_1개월박스	분류	로케이션	제품명	바코드
81	리빙박스 로코스	320-A1-1-162	로코스 수납 바스켓 M 8개 크림	R006596890001
82	핸들러 바스켓	320-A1-1-272	보노하우스 리빙 그립 바스켓  S 화이트 4개	R012426740002
83	와이드 서랍장	320-A1-1-762	보노하우스 심플리 와이드 서랍장 6단 화이트 1개	R011622510003
84	슬림서랍장	320-A1-1-230	슬림서랍장_화이트4단	R000240980012
85	북 트롤리	320-A1-2-110	보노하우스 모던 북 트롤리 수납 정리함 화이트 4단 1개	R016128090011
86	맥스	320-A1-1-516	보노하우스 맥스 서랍장 투명 3단 1개	R013890890004
87	트레이	320-A1-1-178	옷정리 트레이 50개	R004514090002
88	모던 플러스	320-A1-1-10	보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 5단 1개 562mm	R222633070010
89	슬림서랍장	320-A1-1-222	보노하우스 우드상판 슬림 서랍장 6단 화이트 1개	R012219050002
90	이유 정리함	320-A1-2-149	보노하우스 이유 적층형 다용도 정리함 화이트 9개 15.5 X 23.5 X 11.2cm	R226361730003
91	리빙박스 로코스	320-A1-1-289	보노하우스 팬트리 리빙박스  크림 M 4개 1팩	R014052850006
92	옷걸이	320-A1-1-354	보노하우스 국내제조 몽드 아동옷걸이 화이트 20개	R254631230004
93	리빙박스 로코스	320-A1-1-151	보노하우스 로코스 수납 바스켓 L 아이보리 4개	R012319330003
94	데크 타일	320-A1-2-74	보노하우스 조립식 데크타일 블랙 9장	R015202640013
95	모던 플러스	320-A1-1-605	보노하우스 카밀라 템바보드 서랍장 딥 그린 3단 1개	R205947040003
96	슬림서랍장	320-A1-1-216	슬림 서랍장 5단 투명	R000695390024
97	슬라이딩 스텝	320-A1-2-33	보노하우스 슬라이딩 옷정리 적층 트레이 중형 5개	R014930400008
98	탑백 리빙박스	320-A1-2-8	보노하우스 탑백 리빙박스 52리터 화이트 2개	R013009800001
99	해피	320-A1-2-48	보노하우스 모던 이동식 해피박스 버터 2개 1세트 44L 370X370X320mm	R231382330004
100	이유 정리함	320-A1-2-145	보노하우스 이유 적층형 다용도 정리함 화이트 4개 15.5 X 23.5 X 11.2cm	R226361710001
101	데크 타일	320-A1-2-79	보노하우스 조립식 데크타일 블랙 18장	R015202640008
102	북 트롤리	320-A1-2-81	보노하우스 틈새 수납 슬림 트롤리  버터 2단 1개	R204398140001
103	모던 플러스	320-A1-1-617	보노하우스 템바보드 서랍장 4단 모던핑크	R013022780001
104	모던 플러스	320-A1-1-614	뉴모던플러스 5단 화이트	R000150580041
105	모던 플러스	320-A1-1-29	보노하우스 모던플러스 우드상판 서랍장 2단 화이트 오크 1개 550 X 400 X 410mm	R240325720001
106	칵투스	320-A1-1-981	유원피에스 보노하우스 칵투스 오픈 비누 받침대	R210189910002
107	모던 플러스	320-A1-1-660	보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 2단 1개 562mm	R222632980001
108	데크 타일	320-A1-2-71	보노하우스 조립식 데크타일 모노화이트 9장	R015202640002
109	모던 플러스	320-A1-1-30	보노하우스 모던플러스 우드상판 서랍장 2단 내츄럴 오크 1개 550 X 400 X 410mm	R240325730002
110	슬림서랍장	320-A1-1-255	보노하우스 우드상판 슬림 서랍장 2단 화이트 1개	R012318880002
111	칵투스	320-A1-1-980	보노하우스 칵투스 세숫대야 대형 그레이	R248463570002
112	모던 플러스	320-A1-1-669	보노하우스 템바보드 서랍장 4단 그레이	R013022780002
113	옷걸이	320-A1-1-315	보노하우스 목 늘림 방지 옷걸이 크림 30개	R013337950001
114	칵투스	320-A1-1-982	보노하우스 칵투스 물빠짐 칫솔꽂이	R210119320004
115	북 트롤리	320-A1-2-90	보노하우스 베이직 이동식 북 트롤리 화이트 3단 1개	R203810470010
116	모던 플러스	320-A1-1-620	보노하우스 카밀라 템바보드 서랍장 3단 모던핑크	R013022310001
117	모던 플러스	320-A1-1-666	뉴모던플러스 우드형상판 4단 화이트	R000150580028
118	토이	320-A1-2-150	Box_80L 초대형 모던바스켓 그레이 4개	R000611050008
119	오픈 스텝	320-A1-2-41	013 오픈 스텝바스켓 3단 화이트	R001022730013
120	야채바구니	320-A1-2-43	01 코지 바스켓 타워 3단 화이트	R000764170001
121	초대형	320-A1-1-111	Box_모던초대형해피박스_그레이_2개	R000538800001
122	북 트롤리	320-A1-2-116	보노하우스 모던 북 트롤리 수납 정리함 버터 5단 1개	R016128090005
123	레브 스토리지	320-A1-1-488	Box_레브스토리지_M_아이보리_2개	R000420310005
124	모던 플러스	320-A1-1-38	보노하우스 국내제조 템바보드 서랍장 모던핑크 1개 2단 562mm	R243348790003
125	데크 타일	320-A1-2-76	보노하우스 조립식 데크타일 모노화이트 18장	R015202640012
126	슬림형 서랍장	320-A1-1-442	보노하우스 심플리 슬림 서랍장 4단 화이트 1개	R011191610003
127	데크 타일	320-A1-2-73	보노하우스 조립식 데크타일 다크브라운 9장	R015202640014
128	옷걸이	320-A1-1-186	어반 어깨뿔 방지 옷걸이 50개 화이트	R008022790001
129	칵투스	320-A1-1-985	보노하우스 칵투스 손잡이 양치컵 대	R210119330005
130	모던 플러스	320-A1-1-672	보노하우스 템바보드 서랍장 5단 그레이	R013022860002
131	모던 플러스	320-A1-1-5	보노하우스 템바보드 서랍장 5단 네이비	R013022860003
132	모던 플러스	320-A1-1-36	보노하우스 국내제조 템바보드 서랍장 딥그린 1개 2단 562mm	R243348820006
133	맥스	320-A1-1-541	보노하우스 국내제조 맥스 이동식 서랍장 투명 1개 5단(360 x 430 x 1125 mm)	R244125610011
134	리빙박스 로코스	320-A1-1-293	보노하우스 팬트리 리빙박스  크림 S 4개 1팩	R014052850003
