로케이션	순위_1개월박스	분류	로케이션	제품명	바코드	1개월_출고박스	대분류
1	10	모던 플러스	320-A1-1-1	모던플러스 내츄럴오크 우드상판형 5단	R003750270003	301	모던 플러스
2	12	모던 플러스	320-A1-1-2	뉴모던플러스 우드형상판 5단 화이트	R000150580042	251	모던 플러스
3	24	모던 플러스	320-A1-1-3	보노하우스 템바보드 서랍장 5단 화이트	R013022860004	160	모던 플러스
4	41	모던 플러스	320-A1-1-601	보노하우스 카밀라 템바보드 서랍장 딥 그린 5단 1개	R205947030002	126	모던 플러스
5	77	모던 플러스	320-A1-1-6	보노하우스 템바보드 서랍장 5단 모던핑크	R013022860001	66	모던 플러스
6	42	모던 플러스	320-A1-1-4	보노하우스 라탄플러스 우드상판 서랍장 모던 화이트 6단 1개 562mm	R222633100013	125	모던 플러스
7	52	모던 플러스	320-A1-1-31	보노하우스 국내제조 모던플러스 우드상판 서랍장 화이트+내추럴 오크 1개 6단 550 x 400 x 1210 mm	R243081150002	95	모던 플러스
8	55	모던 플러스	320-A1-1-33	보노하우스 국내제조 템바보드 서랍장 화이트 1개 2단 562mm	R243348770001	84	모던 플러스
9	70	모던 플러스	320-A1-1-39	보노하우스 국내제조 템바보드 서랍장 6단 화이트 1개 6단 562 x 420 x 1172 mm	R245371620001	70	모던 플러스
10	23	모던 플러스	320-A1-1-603	보노하우스 카밀라 템바보드 서랍장 딥 그린 4단 1개	R205947020001	161	모던 플러스
11	32	모던 플러스	320-A1-1-7	모던플러스 내츄럴오크 우드상판형 4단 서랍장	R007758550001	144	모던 플러스
12	38	모던 플러스	320-A1-1-9	보노하우스 템바보드 서랍장 4단 화이트	R013022780004	132	모던 플러스
13	64	모던 플러스	320-A1-1-14	보노하우스 카밀라 템바보드 서랍장 3단 화이트	R013022310004	77	모던 플러스
14	78	모던 플러스	320-A1-1-12	모던플러스 내츄럴오크 우드상판형 3단 서랍장	R007758550002	66	모던 플러스
15	18	모던 플러스	320-A1-1-28	보노하우스 모던플러스 서랍장 2단 화이트 2단 1개 550*400*432mm	R236660680001	206	모던 플러스
20	39	슬림서랍장	320-A1-1-202	모던 틈새 수납장 8단 투명	R004464600001	131	슬림서랍장
21	53	슬림서랍장	320-A1-1-200	모던 틈새 수납장 8단 화이트	R004464600003	89	슬림서랍장
22	56	슬림서랍장	320-A1-1-224	보노하우스 우드상판 슬림 서랍장 6단 투명 1개	R012219050001	84	슬림서랍장
23	69	슬림서랍장	320-A1-1-212	화이트앤컬러_슬림서랍장_화이트5단	R000240980016	71	슬림서랍장
