barcode,skuId,productName,category,location,inventoryDate,currentStock,minStock,safetyStock,reorderPoint,maxStock,stockStatus,coverDays,outbound14dTotal,avgDailyOutbound14d,outbound30dTotal,avgDailyOutbound30d,lifecycleStatus
R210089960003,44661639,보노하우스 엠버 이동식 수납 트롤리 네이비 3단,리빙카트,320-A1-2-195,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R210089990006,44661643,보노하우스 엠버 이동식 수납 트롤리 그레이 3단,기타,320-A1-2-196,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R006266960001,13835020,모던 리빙카트 트롤리 3단 네이비,리빙카트,320-A1-2-185,2026-04-16,4,0,0,0,2,high,56.00,1,0.07,2,0.07,active
R006266960002,13835023,모던 리빙카트 트롤리 4단 아이보리,리빙카트,320-A1-2-186,2026-04-16,3,0,0,0,0,normal,,0,0.00,0,0.00,active
R006266960008,13835024,모던 리빙카트 트롤리 4단 그레이,리빙카트,320-A1-2-187,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R006266960009,13835025,모던 리빙카트 트롤리 4단 네이비,리빙카트,320-A1-2-188,2026-04-16,4,0,0,0,4,normal,28.00,2,0.14,4,0.13,active
R210089950002,44661642,보노하우스 엠버 이동식 수납 트롤리 아이보리 2단,리빙카트,320-A1-2-190,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R210089980005,44661644,보노하우스 엠버 이동식 수납 트롤리 그레이 2단,리빙카트,320-A1-2-191,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R210089970004,44661641,보노하우스 엠버 이동식 수납 트롤리 아이보리 3단,리빙카트,320-A1-2-193,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040014,39233744,보노하우스 컴포트 대형 리빙박스 버터 24리터 4개,탑백 리빙박스,320-A1-2-174,2026-04-16,4,0,0,0,2,high,,0,0.00,2,0.07,active
R016233040012,39233730,보노하우스 컴포트 대형 리빙박스 네이비 24리터 2개,탑백 리빙박스,320-A1-2-176,2026-04-16,4,0,0,0,2,high,,0,0.00,2,0.07,active
R016233040013,39233739,보노하우스 컴포트 대형 리빙박스 민트 24리터 2개,탑백 리빙박스,320-A1-2-177,2026-04-16,15,0,0,0,3,high,70.00,3,0.21,3,0.10,active
R006266960007,13835028,모던 리빙카트 트롤리 2단 아이보리,리빙카트,320-A1-2-180,2026-04-16,24,2,2,2,20,high,48.00,7,0.50,20,0.67,active
R006266960005,13835026,모던 리빙카트 트롤리 2단 그레이,리빙카트,320-A1-2-181,2026-04-16,10,0,0,0,4,high,,0,0.00,4,0.13,active
R006266960006,13835027,모던 리빙카트 트롤리 2단 네이비,리빙카트,320-A1-2-182,2026-04-16,6,1,1,1,11,normal,12.00,7,0.50,11,0.37,active
R006266960003,13835021,모던 리빙카트 트롤리 3단 아이보리,리빙카트,320-A1-2-183,2026-04-16,13,1,1,1,9,high,182.00,1,0.07,9,0.30,active
R006266960004,13835022,모던 리빙카트 트롤리 3단 그레이,리빙카트,320-A1-2-184,2026-04-16,4,0,0,0,3,high,28.00,2,0.14,3,0.10,active
R218136180005,50592817,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 화이트 3개,토이,320-A1-2-156,2026-04-16,14,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040004,39233725,보노하우스 컴포트 대형 리빙박스 네이비 72리터 4개,탑백 리빙박스,320-A1-2-160,2026-04-16,2,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040003,39233723,보노하우스 컴포트 대형 리빙박스 민트 72리터 4개,탑백 리빙박스,320-A1-2-161,2026-04-16,2,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040005,39233732,보노하우스 컴포트 대형 리빙박스 버터 72리터 4개,탑백 리빙박스,320-A1-2-162,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040008,39233753,보노하우스 컴포트 대형 리빙박스 버터 72리터 2개,탑백 리빙박스,320-A1-2-165,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040009,39233707,보노하우스 컴포트 대형 리빙박스 민트 52리터 4개,탑백 리빙박스,320-A1-2-167,2026-04-16,2,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040018,39233710,보노하우스 컴포트 대형 리빙박스 네이비 52리터 2개,탑백 리빙박스,320-A1-2-169,2026-04-16,1,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040001,39233703,보노하우스 컴포트 대형 리빙박스 민트 52리터 2개,탑백 리빙박스,320-A1-2-170,2026-04-16,2,0,0,0,0,normal,,0,0.00,0,0.00,active
R016233040017,39233709,보노하우스 컴포트 대형 리빙박스 버터 52리터 2개,탑백 리빙박스,320-A1-2-171,2026-04-16,4,1,1,1,6,normal,18.67,3,0.21,6,0.20,active
R016233040015,39233747,보노하우스 컴포트 대형 리빙박스 네이비 24리터 4개,탑백 리빙박스,320-A1-2-172,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R246038060006,68390193,보노하우스 모던 미니 해피박스 정리함 블루 4개 22 x 22 x 14 cm,북 트롤리,320-A1-2-142,2026-04-16,4,0,0,0,2,high,,0,0.00,2,0.07,active
R246038070007,68390194,보노하우스 모던 미니 해피박스 정리함 그레이 4개 22 x 22 x 14 cm,북 트롤리,320-A1-2-143,2026-04-16,1,0,0,0,0,normal,,0,0.00,0,0.00,active
R246038080008,68390195,보노하우스 모던 미니 해피박스 정리함 버터 4개 22 x 22 x 14 cm,북 트롤리,320-A1-2-144,2026-04-16,10,0,0,0,0,normal,,0,0.00,0,0.00,active
R226361710001,56776092,보노하우스 이유 적층형 다용도 정리함 화이트 4개 15.5 X 23.5 X 11.2cm,이유 정리함,320-A1-2-145,2026-04-16,54,14,14,14,137,normal,14.00,54,3.86,137,4.57,active
R226361720002,56776093,보노하우스 이유 적층형 다용도 정리함 화이트 6개 15.5 X 23.5 X 11.2cm,이유 정리함,320-A1-2-146,2026-04-16,76,25,25,25,253,normal,13.14,81,5.79,253,8.43,active
R226361730003,56776094,보노하우스 이유 적층형 다용도 정리함 화이트 9개 15.5 X 23.5 X 11.2cm,이유 정리함,320-A1-2-149,2026-04-16,19,8,8,8,81,normal,7.00,38,2.71,81,2.70,active
R000611050008,3141136,Box_80L 초대형 모던바스켓 그레이 4개,토이,320-A1-2-150,2026-04-16,4,2,2,2,18,normal,5.09,11,0.79,18,0.60,active
R000611050006,3141134,Box_80L 초대형 모던바스켓 네이비 6개,토이,320-A1-2-151,2026-04-16,4,1,1,1,14,normal,5.60,10,0.71,14,0.47,active
R218136160003,50592815,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 화이트 2개,토이,320-A1-2-152,2026-04-16,4,0,0,0,3,high,,0,0.00,3,0.10,active
R218136170004,50592816,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 크림 2개,토이,320-A1-2-153,2026-04-16,6,1,1,1,13,normal,42.00,2,0.14,13,0.43,active
R218136150002,50592814,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 화이트 4개,토이,320-A1-2-154,2026-04-16,4,0,0,0,3,high,18.67,3,0.21,3,0.10,active
R218136140001,50592813,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 크림 4개,토이,320-A1-2-154,2026-04-16,5,1,1,1,11,normal,11.67,6,0.43,11,0.37,active
R218136190006,50592818,보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 크림 3개,토이,320-A1-2-155,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R246038010001,68390188,보노하우스 모던 미니 해피박스 정리함 핑크 2개 22 x 22 x 14 cm,북 트롤리,320-A1-2-137,2026-04-16,6,2,2,2,16,normal,10.50,8,0.57,16,0.53,active
R246038020002,68390189,보노하우스 모던 미니 해피박스 정리함 블루 2개 22 x 22 x 14 cm,북 트롤리,320-A1-2-138,2026-04-16,5,0,0,0,2,high,,0,0.00,2,0.07,active
R246038030003,68390190,보노하우스 모던 미니 해피박스 정리함 그레이 2개 22 x 22 x 14 cm,북 트롤리,320-A1-2-139,2026-04-16,5,0,0,0,0,normal,,0,0.00,0,0.00,active
R246038040004,68390191,보노하우스 모던 미니 해피박스 정리함 버터 2개 22 x 22 x 14 cm,북 트롤리,320-A1-2-140,2026-04-16,4,0,0,0,3,high,28.00,2,0.14,3,0.10,active
R246038050005,68390192,보노하우스 모던 미니 해피박스 정리함 핑크 4개 22 x 22 x 14 cm,북 트롤리,320-A1-2-141,2026-04-16,4,0,0,0,0,normal,,0,0.00,0,0.00,active
R204398080008,41116682,보노하우스 마벨 슬림 북트롤리 화이트 4단 1개,북 트롤리,320-A1-2-125,2026-04-16,4,0,0,0,3,high,,0,0.00,3,0.10,active
R204398120012,41116684,보노하우스 마벨 슬림 북트롤리 버터 4단 1개,북 트롤리,320-A1-2-126,2026-04-16,1,0,0,0,0,normal,,0,0.00,0,0.00,active
R204398020002,41116680,보노하우스 마벨 슬림 북트롤리 화이트 5단 1개,북 트롤리,320-A1-2-127,2026-04-16,3,0,0,0,1,high,42.00,1,0.07,1,0.03,active
R204398100010,41116686,보노하우스 마벨 슬림 북트롤리 버터 5단 1개,북 트롤리,320-A1-2-128,2026-04-16,1,0,0,0,1,normal,,0,0.00,1,0.03,active
R204398010001,41116675,보노하우스 마벨 슬림 북트롤리 화이트 6단 1개,북 트롤리,320-A1-2-129,2026-04-16,2,0,0,0,3,normal,14.00,2,0.14,3,0.10,active
R204398030003,41116676,보노하우스 마벨 슬림 북트롤리 버터 6단 1개,북 트롤리,320-A1-2-130,2026-04-16,1,0,0,0,0,normal,,0,0.00,0,0.00,active
